"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 12:27:09 GMT 2023","Tue Oct 10 12:27:12 GMT 2023","3414","chromium","first_task.spec.js","internship task","","","should check header visibility",""
"broken","Tue Oct 10 12:29:29 GMT 2023","Tue Oct 10 12:30:05 GMT 2023","35760","webkit","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Tue Oct 10 12:26:52 GMT 2023","Tue Oct 10 12:26:53 GMT 2023","658","chromium","example.spec.js","","","","get started link",""
"broken","Tue Oct 10 12:31:14 GMT 2023","Tue Oct 10 12:31:50 GMT 2023","35872","webkit","first_task.spec.js","internship task","","","should show correct search results",""
"passed","Tue Oct 10 12:27:51 GMT 2023","Tue Oct 10 12:28:06 GMT 2023","15714","firefox","first_task.spec.js","internship task","","","should generate script",""
"passed","Tue Oct 10 12:26:53 GMT 2023","Tue Oct 10 12:27:01 GMT 2023","8241","chromium","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"broken","Tue Oct 10 12:34:48 GMT 2023","Tue Oct 10 12:35:23 GMT 2023","35600","webkit","first_task.spec.js","internship task","","","should generate script",""
"broken","Tue Oct 10 12:33:00 GMT 2023","Tue Oct 10 12:33:36 GMT 2023","35856","webkit","first_task.spec.js","internship task","","","should check header visibility",""
"passed","Tue Oct 10 12:27:24 GMT 2023","Tue Oct 10 12:27:28 GMT 2023","4202","chromium","first_task.spec.js","internship task","","","should not log in",""
"passed","Tue Oct 10 12:27:29 GMT 2023","Tue Oct 10 12:27:31 GMT 2023","2139","firefox","example.spec.js","","","","has title",""
"passed","Tue Oct 10 12:27:01 GMT 2023","Tue Oct 10 12:27:09 GMT 2023","7215","chromium","first_task.spec.js","internship task","","","should show correct search results",""
"passed","Tue Oct 10 12:27:12 GMT 2023","Tue Oct 10 12:27:24 GMT 2023","12298","chromium","first_task.spec.js","internship task","","","should generate script",""
"broken","Tue Oct 10 12:36:36 GMT 2023","Tue Oct 10 12:37:12 GMT 2023","35765","webkit","first_task.spec.js","internship task","","","should not log in",""
"passed","Tue Oct 10 12:26:51 GMT 2023","Tue Oct 10 12:26:52 GMT 2023","1000","chromium","example.spec.js","","","","has title",""
"passed","Tue Oct 10 12:27:48 GMT 2023","Tue Oct 10 12:27:51 GMT 2023","2841","firefox","first_task.spec.js","internship task","","","should check header visibility",""
"passed","Tue Oct 10 12:27:32 GMT 2023","Tue Oct 10 12:27:41 GMT 2023","9042","firefox","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Tue Oct 10 12:28:06 GMT 2023","Tue Oct 10 12:28:11 GMT 2023","4454","firefox","first_task.spec.js","internship task","","","should not log in",""
"passed","Tue Oct 10 12:27:31 GMT 2023","Tue Oct 10 12:27:32 GMT 2023","1027","firefox","example.spec.js","","","","get started link",""
"passed","Tue Oct 10 12:28:15 GMT 2023","Tue Oct 10 12:28:17 GMT 2023","1339","webkit","example.spec.js","","","","get started link",""
"passed","Tue Oct 10 12:27:41 GMT 2023","Tue Oct 10 12:27:48 GMT 2023","6564","firefox","first_task.spec.js","internship task","","","should show correct search results",""
"passed","Tue Oct 10 12:28:12 GMT 2023","Tue Oct 10 12:28:15 GMT 2023","3487","webkit","example.spec.js","","","","has title",""
